subindex;eventindex;Animacytype;TypeNum;RT;list;response;root;scenario;text;wordlength
24;40;Robot;1;955,52;1;7;aggressive_r.jpg;1;aggressive ;11
5;58;Robot;1;1259,06;1;7;aggressive_r.jpg;1;aggressive ;11
6;102;Robot;1;1106,2;1;5;aggressive_r.jpg;1;aggressive ;11
15;110;Robot;1;1445;1;2;aggressive_r.jpg;1;aggressive ;11
20;118;Robot;1;1953;1;7;aggressive_r.jpg;1;aggressive ;11
23;120;Robot;1;794,2;1;7;aggressive_r.jpg;1;aggressive ;11
11;152;Robot;1;3097;1;5;aggressive_r.jpg;1;aggressive ;11
10;174;Robot;1;1255;1;5;aggressive_r.jpg;1;aggressive ;11
18;182;Robot;1;738;1;6;aggressive_r.jpg;1;aggressive ;11
8;200;Robot;1;994,82;1;7;aggressive_r.jpg;1;aggressive ;11
3;202;Robot;1;1225,39;1;6;aggressive_r.jpg;1;aggressive ;11
13;212;Robot;1;1413,76;1;6;aggressive_r.jpg;1;aggressive ;11
21;212;Robot;1;1958;1;6;aggressive_r.jpg;1;aggressive ;11
22;228;Robot;1;1252;1;6;aggressive_r.jpg;1;aggressive ;11
14;248;Robot;1;1883;1;6;aggressive_r.jpg;1;aggressive ;11
1;30;Robot;1;3359,4;1;4;aggressive_r.jpg;1;aggressive ;11
7;248;Robot;1;836,11;1;4;aggressive_r.jpg;1;aggressive ;11
19;76;Robot;1;2129,98;1;4;aggressive_r.jpg;1;aggressive ;11
18;8;Robot;2;1698;1;2;amazing_r.jpg;2;amazing ;8
5;10;Robot;2;1322;1;7;amazing_r.jpg;2;amazing ;8
1;70;Robot;2;1773,76;1;5;amazing_r.jpg;2;amazing ;8
24;70;Robot;2;1434,33;1;7;amazing_r.jpg;2;amazing ;8
22;86;Robot;2;1609;1;6;amazing_r.jpg;2;amazing ;8
6;174;Robot;2;1348,72;1;5;amazing_r.jpg;2;amazing ;8
21;180;Robot;2;1398;1;7;amazing_r.jpg;2;amazing ;8
8;186;Robot;2;1110,85;1;7;amazing_r.jpg;2;amazing ;8
14;190;Robot;2;2220;1;6;amazing_r.jpg;2;amazing ;8
15;214;Robot;2;1751;1;2;amazing_r.jpg;2;amazing ;8
13;234;Robot;2;1280,74;1;6;amazing_r.jpg;2;amazing ;8
23;242;Robot;2;607,95;1;7;amazing_r.jpg;2;amazing ;8
3;146;Robot;2;2698,52;1;4;amazing_r.jpg;2;amazing ;8
7;198;Robot;2;1223,87;1;4;amazing_r.jpg;2;amazing ;8
10;32;Robot;2;2003;1;4;amazing_r.jpg;2;amazing ;8
16;84;Robot;2;2747;1;4;amazing_r.jpg;2;amazing ;8
19;198;Robot;2;1525,71;1;4;amazing_r.jpg;2;amazing ;8
20;42;Robot;2;4596;1;4;amazing_r.jpg;2;amazing ;8
13;30;Robot;3;1800,04;1;7;anxious_r.jpg;3;anxious;7
19;32;Robot;3;2527,14;1;3;anxious_r.jpg;3;anxious;7
21;40;Robot;3;3790;1;1;anxious_r.jpg;3;anxious;7
23;44;Robot;3;2063;1;7;anxious_r.jpg;3;anxious;7
22;46;Robot;3;1452;1;5;anxious_r.jpg;3;anxious;7
18;58;Robot;3;1557;1;6;anxious_r.jpg;3;anxious;7
15;92;Robot;3;4355;1;2;anxious_r.jpg;3;anxious;7
